Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Highest_Score_Max,Boundary_Percentage,Batting_Strike_Rate,Batting_Average,Bowling_Strike_Rate,Economy_Rate,has_old_experience
Matheesha Pathirana,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,8.0,175.5,254.0,11.75,0.25,0.0,0.0,0.0,0.0,0.0,14.936170212765957,8.683760683760685,0
Matt Henry,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,1
Matthew Breetzke,1.0,0.0,14.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.16666666666666666,116.66666666666667,14.0,99.9,0.0,0
Mayank Markande,6.25,1.1666666666666667,7.5,5.666666666666667,0.0,0.0,0.75,0.25,1.5,0.0,6.25,127.0,191.75,6.583333333333333,0.3333333333333333,0.0,6.0,0.1764705882352941,132.35294117647058,1.4754098360655739,19.29113924050633,9.059055118110237,0
Mayank Yadav,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,60.5,92.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,13.444444444444445,9.173553719008265,0
Mitchell Marsh,7.923076923076923,0.0,246.23076923076923,163.23076923076923,0.23076923076923078,2.076923076923077,21.923076923076923,14.076923076923077,0.9230769230769231,0.0,7.923076923076923,55.92307692307692,87.0,3.923076923076923,0.23076923076923078,0.0,117.0,0.22054665409990576,150.84825636192272,31.07766990291262,14.254901960784313,9.334250343878956,1
Mitchell Santner,5.785714285714286,2.2142857142857144,19.0,19.0,0.0,0.0,1.2857142857142858,0.8571428571428571,2.7142857142857144,0.0,5.785714285714286,111.21428571428571,136.5,4.5,0.0,0.0,22.0,0.11278195488721804,100.0,5.32,24.71428571428571,7.3641618497109835,0
Mitchell Starc,12.5,3.5,7.5,10.5,0.0,0.0,0.5,0.0,6.5,0.0,12.5,233.5,405.0,15.5,0.5,0.5,2.0,0.047619047619047616,71.42857142857143,0.8333333333333334,15.064516129032258,10.406852248394005,1
Mohammad Shami,13.23076923076923,1.1538461538461537,5.230769230769231,5.846153846153846,0.0,0.0,0.5384615384615384,0.0,3.076923076923077,0.0,13.23076923076923,296.38461538461536,423.7692307692308,17.153846153846153,0.46153846153846156,0.0,7.0,0.09210526315789473,89.47368421052633,0.43312101910828027,17.278026905829595,8.578769789774203,1
Mohammed Siraj,13.625,1.75,12.75,13.5625,0.0,0.0,1.25,0.5,4.3125,0.0,13.625,294.125,435.25,13.5625,0.375,0.0,14.0,0.12903225806451613,94.00921658986175,1.0736842105263158,21.68663594470046,8.8788780280493,1
Mohd. Arshad Khan,6.333333333333333,2.0,41.333333333333336,29.333333333333332,0.0,0.3333333333333333,2.0,3.0,2.3333333333333335,0.0,6.333333333333333,90.66666666666667,173.66666666666666,4.0,0.0,0.0,20.0,0.17045454545454547,140.9090909090909,9.53846153846154,22.666666666666668,11.492647058823529,0
Mohsin Khan,8.0,0.6666666666666666,8.333333333333334,8.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,8.0,162.0,229.66666666666666,9.0,0.3333333333333333,0.0,2.0,0.125,104.16666666666667,1.1363636363636365,18.0,8.506172839506172,0
